NaN,NaN,3.83,NaN,NaN,NaN
NaN,NaN,9.023,NaN,NaN,NaN
NaN,NaN,7.77,NaN,NaN,NaN
NaN,NaN,3.598,NaN,NaN,NaN
NaN,NaN,3.865,NaN,NaN,NaN
NaN,9.609,4.082,NaN,NaN,NaN
NaN,NaN,4.397,NaN,NaN,NaN
NaN,NaN,3.851,NaN,NaN,NaN
NaN,NaN,4.159,NaN,NaN,NaN
NaN,NaN,4.088,NaN,NaN,NaN
NaN,NaN,3.493,NaN,NaN,NaN
NaN,NaN,8.399,NaN,NaN,NaN
NaN,NaN,3.74,NaN,NaN,NaN
NaN,NaN,4.272,NaN,NaN,NaN
NaN,NaN,NaN,4.683,NaN,NaN
NaN,NaN,NaN,12.2,11.4,NaN
NaN,6.225,1.921,NaN,NaN,NaN
NaN,5.05,3.46,NaN,NaN,NaN
NaN,5.696,2.847,NaN,NaN,NaN
NaN,NaN,3.411,NaN,NaN,NaN
NaN,NaN,NaN,11.6,10.6,NaN
NaN,NaN,6.095,NaN,NaN,NaN
NaN,4.75,3.098,NaN,NaN,NaN
NaN,4.815,3.222,NaN,NaN,NaN
NaN,NaN,4.483,NaN,NaN,NaN
NaN,NaN,9.344,2.17,NaN,NaN
NaN,NaN,3.57,NaN,NaN,NaN
NaN,NaN,NaN,10.62,NaN,NaN
NaN,NaN,NaN,11,NaN,NaN
NaN,6.413,2.86,NaN,NaN,NaN
NaN,5.787,3.072,NaN,NaN,NaN
NaN,NaN,NaN,10.9,NaN,NaN
NaN,NaN,-2,NaN,NaN,NaN
NaN,NaN,NaN,14,NaN,NaN
NaN,NaN,7.2,NaN,NaN,NaN
NaN,NaN,NaN,8.33,NaN,NaN
NaN,NaN,NaN,8,7,6
NaN,NaN,NaN,10.6,9.3,NaN
NaN,NaN,4.819,NaN,NaN,NaN
NaN,NaN,-1.37,NaN,NaN,NaN
NaN,NaN,3.22,NaN,NaN,NaN
NaN,NaN,NaN,11,10.4,NaN
NaN,NaN,NaN,10.64,NaN,NaN
NaN,NaN,4.939,NaN,NaN,NaN
NaN,NaN,2.854,NaN,NaN,NaN
NaN,NaN,4.054,NaN,NaN,NaN
NaN,NaN,2.943,NaN,NaN,NaN
NaN,NaN,8.477,NaN,NaN,NaN
NaN,NaN,4.208,NaN,NaN,NaN
NaN,NaN,3.793,NaN,NaN,NaN
NaN,NaN,3.267,NaN,NaN,NaN
NaN,NaN,4.613,NaN,NaN,NaN
NaN,NaN,2.863,NaN,NaN,NaN
NaN,NaN,4.038,NaN,NaN,NaN
NaN,NaN,3.635,NaN,NaN,NaN
NaN,NaN,4.094,NaN,NaN,NaN
NaN,NaN,2.173,NaN,NaN,NaN
NaN,NaN,7.234,NaN,NaN,NaN
NaN,NaN,7.488,NaN,NaN,NaN
NaN,NaN,3.535,NaN,NaN,NaN
NaN,NaN,3.908,NaN,NaN,NaN
NaN,NaN,NaN,4.394,NaN,NaN
NaN,NaN,NaN,11,10.1,NaN
NaN,NaN,NaN,10.65,NaN,NaN
NaN,NaN,-2,NaN,NaN,NaN
NaN,NaN,NaN,14,NaN,NaN
NaN,NaN,10.755,8.712,1.705,NaN
NaN,NaN,2.803,NaN,NaN,NaN
NaN,4.266,1.271,NaN,NaN,NaN
NaN,4.37,2.555,NaN,NaN,NaN
NaN,NaN,4.853,NaN,NaN,NaN
NaN,NaN,3.971,NaN,NaN,NaN
NaN,NaN,3.977,NaN,NaN,NaN
NaN,NaN,9.378,NaN,NaN,NaN
NaN,NaN,4.19,NaN,NaN,NaN
NaN,NaN,7.959,NaN,NaN,NaN
NaN,NaN,4.796,NaN,NaN,NaN
NaN,NaN,4.353,NaN,NaN,NaN
NaN,NaN,4.142,NaN,NaN,NaN
NaN,9.31,4.53,NaN,NaN,NaN
NaN,NaN,4.678,NaN,NaN,NaN
NaN,NaN,3.171,NaN,NaN,NaN
NaN,NaN,3.93,NaN,NaN,NaN
NaN,NaN,4.178,NaN,NaN,NaN
NaN,NaN,4.354,NaN,NaN,NaN
NaN,NaN,4.471,NaN,NaN,NaN
NaN,NaN,4.361,NaN,NaN,NaN
NaN,NaN,3.523,NaN,NaN,NaN
NaN,NaN,7.149,NaN,NaN,NaN
NaN,NaN,4.4,NaN,NaN,NaN
NaN,NaN,-2,NaN,NaN,NaN
NaN,NaN,4.373,NaN,NaN,NaN
NaN,NaN,NaN,5.091,NaN,NaN
NaN,NaN,NaN,14,NaN,NaN
NaN,6.92,2.16,NaN,NaN,NaN
NaN,NaN,4.955,NaN,NaN,NaN
NaN,NaN,NaN,11.05,9.74,NaN
NaN,NaN,-2,NaN,NaN,NaN
NaN,NaN,1.55,NaN,NaN,NaN
